timestamp,temperature,humidity,pressure,altitude
28:06:2026 01:54,18.5,89.9,919.5,811.4
28:06:2026 01:55,18.5,90.0,919.5,811.8
28:06:2026 01:56,18.5,89.8,919.5,811.9
28:06:2026 01:58,18.4,89.5,919.4,812.5
28:06:2026 01:59,18.4,89.6,919.3,812.9
28:06:2026 02:00,18.4,89.7,919.3,813.0
28:06:2026 02:01,18.4,89.7,919.3,812.9
28:06:2026 02:02,18.4,89.9,919.3,812.9
28:06:2026 02:03,18.4,89.8,919.3,812.9
28:06:2026 02:04,18.3,90.0,919.3,813.1
28:06:2026 02:05,18.3,90.0,919.3,813.2
28:06:2026 02:06,18.3,90.1,919.3,813.3
28:06:2026 02:07,18.3,90.1,919.3,813.2
28:06:2026 02:08,18.3,90.2,919.4,812.9
28:06:2026 02:10,18.3,90.4,919.4,812.3
28:06:2026 02:11,18.3,90.1,919.5,811.8
28:06:2026 02:12,18.3,90.0,919.5,811.5
28:06:2026 02:13,18.3,90.1,919.5,811.6
28:06:2026 02:14,18.2,89.9,919.5,811.9
28:06:2026 02:15,18.2,90.3,919.5,811.8
28:06:2026 02:16,18.2,90.3,919.4,812.2
28:06:2026 02:17,18.2,90.2,919.4,812.1
28:06:2026 02:18,18.2,90.6,919.4,812.2
28:06:2026 02:19,18.2,90.6,919.4,812.3
28:06:2026 02:20,18.2,90.7,919.5,811.9
28:06:2026 02:22,18.2,90.3,919.5,812.0
28:06:2026 02:23,18.2,90.5,919.5,811.9
28:06:2026 02:24,18.2,90.2,919.4,812.2
28:06:2026 02:25,18.2,90.5,919.4,812.8
28:06:2026 02:26,18.1,90.3,919.3,813.2
28:06:2026 02:27,18.1,90.4,919.3,813.5
28:06:2026 02:28,18.1,90.4,919.3,813.7
28:06:2026 02:29,18.1,90.3,919.3,813.7
28:06:2026 02:30,18.1,90.3,919.3,813.6
28:06:2026 02:31,18.1,90.5,919.3,813.4
28:06:2026 02:33,18.1,90.1,919.3,813.2
28:06:2026 02:34,18.1,90.5,919.3,813.2
28:06:2026 02:35,18.1,90.5,919.3,813.2
28:06:2026 02:36,18.1,90.7,919.3,813.0
28:06:2026 02:37,18.1,90.6,919.3,812.9
28:06:2026 02:38,18.1,90.6,919.3,813.2
28:06:2026 02:39,18.1,90.8,919.3,813.0
28:06:2026 02:40,18.1,90.7,919.3,813.2
28:06:2026 02:41,18.1,90.4,919.3,813.4
28:06:2026 02:42,18.1,90.4,919.3,813.7
28:06:2026 02:43,18.1,90.3,919.2,814.2
28:06:2026 02:45,18.1,90.6,919.2,814.4
28:06:2026 02:46,18.1,90.1,919.2,814.5
28:06:2026 02:47,18.1,90.5,919.2,814.4
28:06:2026 02:48,18.1,90.4,919.2,814.4
28:06:2026 02:49,18.1,90.4,919.1,814.7
28:06:2026 02:50,18.1,90.6,919.2,814.6
28:06:2026 02:51,18.1,90.4,919.2,814.6
28:06:2026 02:52,18.0,90.2,919.2,814.2
28:06:2026 02:53,18.0,90.5,919.2,814.1
28:06:2026 02:54,18.0,90.7,919.2,813.9
28:06:2026 02:55,18.0,90.9,919.3,813.4
28:06:2026 02:57,18.0,90.6,919.3,813.3
28:06:2026 02:58,18.0,90.8,919.3,813.3
28:06:2026 02:59,18.0,90.8,919.3,813.4
28:06:2026 03:00,18.0,90.7,919.3,813.7
28:06:2026 03:01,18.0,90.9,919.3,813.4
28:06:2026 03:02,18.0,91.0,919.3,813.4
28:06:2026 03:03,18.0,90.8,919.3,813.6
28:06:2026 03:04,18.0,91.0,919.2,813.8
28:06:2026 03:05,18.0,91.0,919.3,813.6
28:06:2026 03:06,18.0,90.8,919.2,814.0
28:06:2026 03:08,18.0,91.2,919.2,813.8
28:06:2026 03:09,18.0,91.1,919.2,814.3
28:06:2026 03:10,18.0,91.0,919.1,815.0
28:06:2026 03:11,18.0,91.1,919.1,815.4
28:06:2026 03:12,18.0,91.1,919.0,815.8
28:06:2026 03:13,18.0,90.8,919.0,816.2
28:06:2026 03:14,18.0,91.0,918.9,816.6
28:06:2026 03:15,18.0,90.7,918.9,817.0
28:06:2026 03:16,18.0,90.6,918.9,816.9
28:06:2026 03:17,18.0,90.8,919.0,816.2
28:06:2026 03:19,17.9,91.1,919.0,815.8
28:06:2026 03:20,18.0,90.9,919.1,815.5
28:06:2026 03:21,17.9,90.9,919.1,815.5
28:06:2026 03:22,17.9,91.3,919.1,815.1
28:06:2026 03:23,17.9,91.0,919.1,815.3
28:06:2026 03:24,17.9,91.2,919.1,814.7
28:06:2026 03:25,17.9,91.3,919.2,814.0
28:06:2026 03:26,17.9,91.4,919.3,813.7
28:06:2026 03:27,17.9,91.4,919.3,813.2
28:06:2026 03:28,17.9,91.5,919.3,813.0
28:06:2026 03:29,17.8,91.6,919.3,813.0
28:06:2026 03:31,17.9,91.6,919.3,813.0
28:06:2026 03:32,17.9,91.5,919.3,813.1
28:06:2026 03:33,17.9,91.4,919.3,813.0
28:06:2026 03:34,17.9,91.4,919.3,813.0
28:06:2026 03:35,17.9,91.2,919.3,813.2
28:06:2026 03:36,17.9,91.3,919.3,813.4
28:06:2026 03:37,17.9,91.3,919.3,813.7
28:06:2026 03:38,17.9,91.1,919.2,814.2
28:06:2026 03:39,17.9,91.2,919.2,814.6
28:06:2026 03:40,17.9,91.2,919.1,815.1
28:06:2026 03:42,17.8,91.3,919.0,815.8
28:06:2026 03:43,17.9,91.1,919.0,816.1
28:06:2026 03:44,17.8,91.3,919.0,816.0
28:06:2026 03:45,17.8,91.1,919.0,815.8
28:06:2026 03:46,17.8,91.6,919.0,815.7
28:06:2026 03:47,17.8,91.5,919.0,816.0
28:06:2026 03:48,17.8,91.6,918.9,816.6
28:06:2026 03:49,17.8,91.4,918.9,817.3
28:06:2026 03:50,17.8,91.4,918.8,817.7
28:06:2026 03:51,17.8,91.3,918.8,818.1
28:06:2026 03:52,17.8,91.3,918.8,818.1
28:06:2026 03:54,17.8,91.4,918.7,818.5
28:06:2026 03:55,17.8,91.3,918.7,818.8
28:06:2026 03:56,17.8,91.5,918.6,819.4
